date,close_usd,high_usd,low_usd,open_usd,volume,usdinr,open_inr,high_inr,low_inr,close_inr,daily_return,price_range_inr,commodity,ticker,unit,sector
2010-01-04,3.388000011444092,3.4089999198913574,3.3529999256134033,3.388000011444092,404,46.28799819946289,345.74,347.88,342.17,345.74,,5.7099999999999795,Copper,HG=F,₹/kg,Industrial metal
2010-01-05,3.3959999084472656,3.4110000133514404,3.368499994277954,3.3959999084472656,242,46.119998931884766,345.3,346.82,342.5,345.3,-0.001272632614103042,4.319999999999993,Copper,HG=F,₹/kg,Industrial metal
2010-01-06,3.4774999618530273,3.499500036239624,3.433500051498413,3.4774999618530273,109,45.720001220703125,350.52,352.73,346.08,350.52,0.015117289313640203,6.650000000000034,Copper,HG=F,₹/kg,Industrial metal
2010-01-07,3.4114999771118164,3.5234999656677246,3.4110000133514404,3.499500036239624,326,45.6879997253418,352.49,354.9,343.57,343.62,-0.019685039370078705,11.329999999999984,Copper,HG=F,₹/kg,Industrial metal
2010-01-08,3.388000011444092,3.421999931335449,3.380000114440918,3.388000011444092,311,45.51800155639648,339.99,343.4,339.18,339.99,-0.010563995110878244,4.21999999999997,Copper,HG=F,₹/kg,Industrial metal
2010-01-11,3.428499937057495,3.4769999980926514,3.428499937057495,3.428499937057495,145,45.358001708984375,342.84,347.69,342.84,342.84,0.008382599488220066,4.850000000000023,Copper,HG=F,₹/kg,Industrial metal
2010-01-12,3.3375000953674316,3.381999969482422,3.309999942779541,3.381999969482422,193,45.61800003051758,340.13,340.13,332.89,335.65,-0.020971881927429714,7.240000000000009,Copper,HG=F,₹/kg,Industrial metal
2010-01-13,3.387500047683716,3.387500047683716,3.387500047683716,3.387500047683716,142,45.48799896240234,339.71,339.71,339.71,339.71,0.012095933263816416,0.0,Copper,HG=F,₹/kg,Industrial metal
2010-01-14,3.375999927520752,3.427999973297119,3.378000020980835,3.4144999980926514,234,45.5629997253418,342.98,344.34,339.32,339.12,-0.0017367754849724193,5.019999999999982,Copper,HG=F,₹/kg,Industrial metal
2010-01-15,3.3550000190734863,3.365000009536743,3.3489999771118164,3.359999895095825,222,45.803001403808594,339.29,339.79,338.18,338.78,-0.0010025949516396793,1.6100000000000136,Copper,HG=F,₹/kg,Industrial metal
2010-01-19,3.437000036239624,3.437999963760376,3.380000114440918,3.390000104904175,1285,45.84799957275391,342.65,347.5,341.64,347.4,0.025444241100419207,5.860000000000014,Copper,HG=F,₹/kg,Industrial metal
2010-01-20,3.3459999561309814,3.3459999561309814,3.3459999561309814,3.3459999561309814,152,46.11800003051758,340.2,340.2,340.2,340.2,-0.020725388601036232,0.0,Copper,HG=F,₹/kg,Industrial metal
2010-01-21,3.2850000858306885,3.2850000858306885,3.2850000858306885,3.2850000858306885,196,46.108001708984375,333.92,333.92,333.92,333.92,-0.018459729570840633,0.0,Copper,HG=F,₹/kg,Industrial metal
2010-01-22,3.3385000228881836,3.3454999923706055,3.2874999046325684,3.3385000228881836,128,46.22299957275391,340.21,340.92,335.01,340.21,0.018836847149017677,5.910000000000025,Copper,HG=F,₹/kg,Industrial metal
2010-01-25,3.384000062942505,3.384000062942505,3.369999885559082,3.384000062942505,177,46.07799911499024,343.76,343.76,342.34,343.76,0.010434731489374238,1.420000000000016,Copper,HG=F,₹/kg,Industrial metal
2010-01-26,3.3289999961853027,3.3289999961853027,3.3289999961853027,3.3289999961853027,155,45.84799957275391,336.49,336.49,336.49,336.49,-0.021148475680707435,0.0,Copper,HG=F,₹/kg,Industrial metal
2010-01-27,3.2144999504089355,3.2144999504089355,3.2144999504089355,3.2144999504089355,252,46.31800079345703,328.24,328.24,328.24,328.24,-0.024517816279829963,0.0,Copper,HG=F,₹/kg,Industrial metal
2010-01-28,3.0899999141693115,3.2144999504089355,3.0889999866485596,3.197000026702881,351,46.34799957275391,326.67,328.46,315.63,315.74,-0.038081891299049486,12.829999999999984,Copper,HG=F,₹/kg,Industrial metal
2010-01-29,3.0460000038146973,3.135499954223633,3.0360000133514404,3.0460000038146973,451,46.09799957275391,309.56,318.66,308.54,309.56,-0.01957306644707668,10.120000000000005,Copper,HG=F,₹/kg,Industrial metal
2010-02-01,3.0785000324249268,3.1045000553131104,2.996000051498413,3.0785000324249268,436,46.28799819946289,314.15,316.81,305.73,314.15,0.014827497092647635,11.079999999999984,Copper,HG=F,₹/kg,Industrial metal
2010-02-02,3.0850000381469727,3.116499900817871,3.075000047683716,3.0850000381469727,137,46.09999847412109,313.54,316.74,312.52,313.54,-0.0019417475728153999,4.220000000000027,Copper,HG=F,₹/kg,Industrial metal
2010-02-03,2.9679999351501465,3.065000057220459,2.9679999351501465,2.9679999351501465,218,45.900001525878906,300.34,310.15,300.34,300.34,-0.04209989156088556,9.810000000000002,Copper,HG=F,₹/kg,Industrial metal
2010-02-04,2.875499963760376,2.9865000247955322,2.875,2.875499963760376,167,46.209999084472656,292.94,304.25,292.89,292.94,-0.02463874275820732,11.360000000000014,Copper,HG=F,₹/kg,Industrial metal
2010-02-05,2.8540000915527344,2.885499954223633,2.8540000915527344,2.8540000915527344,103,46.619998931884766,293.33,296.57,293.33,293.33,0.0013313306479141307,3.240000000000009,Copper,HG=F,₹/kg,Industrial metal
2010-02-08,2.9094998836517334,2.9094998836517334,2.871999979019165,2.9094998836517334,87,46.709999084472656,299.61,299.61,295.75,299.61,0.021409334196979657,3.8600000000000136,Copper,HG=F,₹/kg,Industrial metal
2010-02-09,2.9835000038146973,2.996999979019165,2.9230000972747803,2.9835000038146973,333,46.38999938964844,305.13,306.51,298.94,305.13,0.018423951136477434,7.569999999999993,Copper,HG=F,₹/kg,Industrial metal
2010-02-10,2.9860000610351562,2.9860000610351562,2.9860000610351562,2.9860000610351562,116,46.37799835205078,305.31,305.31,305.31,305.31,0.0005899124963131275,0.0,Copper,HG=F,₹/kg,Industrial metal
