date,close_usd,high_usd,low_usd,open_usd,volume,usdinr,open_inr,high_inr,low_inr,close_inr,daily_return,price_range_inr,commodity,ticker,unit,sector
2010-01-04,1117.699951171875,1122.300048828125,1097.0999755859375,1117.699951171875,184,46.28799819946289,16633.53,16701.99,16326.96,16633.53,,375.0300000000025,Gold,GC=F,₹/10g,Precious metal
2010-01-05,1118.0999755859375,1126.5,1115.0,1118.0999755859375,53,46.119998931884766,16579.09,16703.64,16533.12,16579.09,-0.003272907194083241,170.52000000000044,Gold,GC=F,₹/10g,Precious metal
2010-01-06,1135.9000244140625,1139.199951171875,1120.699951171875,1135.9000244140625,363,45.720001220703125,16696.95,16745.45,16473.52,16696.95,0.00710895471343731,271.9300000000003,Gold,GC=F,₹/10g,Precious metal
2010-01-07,1133.0999755859375,1133.0999755859375,1129.199951171875,1133.0999755859375,56,45.6879997253418,16644.13,16644.13,16586.84,16644.13,-0.0031634520077019612,57.29000000000087,Gold,GC=F,₹/10g,Precious metal
2010-01-08,1138.199951171875,1138.199951171875,1122.699951171875,1138.199951171875,54,45.51800155639648,16656.84,16656.84,16430.0,16656.84,0.0007636325839799341,226.84000000000015,Gold,GC=F,₹/10g,Precious metal
2010-01-11,1150.699951171875,1161.199951171875,1143.0,1150.699951171875,177,45.358001708984375,16780.57,16933.69,16668.28,16780.57,0.0074281796547244205,265.40999999999985,Gold,GC=F,₹/10g,Precious metal
2010-01-12,1128.9000244140625,1157.199951171875,1127.199951171875,1128.9000244140625,51,45.61800003051758,16557.03,16972.09,16532.1,16557.03,-0.013321359167179692,439.9900000000016,Gold,GC=F,₹/10g,Precious metal
2010-01-13,1136.4000244140625,1136.4000244140625,1121.0,1136.4000244140625,58,45.48799896240234,16619.53,16619.53,16394.31,16619.53,0.0037748315972128133,225.21999999999753,Gold,GC=F,₹/10g,Precious metal
2010-01-14,1142.5999755859375,1145.9000244140625,1132.800048828125,1137.0,81,45.5629997253418,16655.72,16786.1,16594.2,16737.76,0.00711391958737706,191.89999999999782,Gold,GC=F,₹/10g,Precious metal
2010-01-15,1130.0999755859375,1133.4000244140625,1127.199951171875,1132.800048828125,50,45.803001403808594,16681.61,16690.44,16599.14,16641.85,-0.005730157440422157,91.29999999999927,Gold,GC=F,₹/10g,Precious metal
2010-01-19,1139.699951171875,1139.699951171875,1130.5,1139.699951171875,22,45.84799957275391,16799.71,16799.71,16664.09,16799.71,0.009485724243398552,135.61999999999898,Gold,GC=F,₹/10g,Precious metal
2010-01-20,1112.300048828125,1133.0,1109.800048828125,1123.300048828125,28,46.11800003051758,16655.47,16799.3,16455.31,16492.37,-0.01829436341460655,343.98999999999796,Gold,GC=F,₹/10g,Precious metal
2010-01-21,1102.699951171875,1107.5,1090.199951171875,1102.699951171875,99,46.108001708984375,16346.49,16417.64,16161.18,16346.49,-0.00884530240347503,256.4599999999991,Gold,GC=F,₹/10g,Precious metal
2010-01-22,1089.199951171875,1095.4000244140625,1083.0,1089.199951171875,58,46.22299957275391,16186.63,16278.77,16094.49,16186.63,-0.009779469476321911,184.28000000000065,Gold,GC=F,₹/10g,Precious metal
2010-01-25,1095.199951171875,1095.199951171875,1095.199951171875,1095.199951171875,8,46.07799911499024,16224.74,16224.74,16224.74,16224.74,0.0023544122525813727,0.0,Gold,GC=F,₹/10g,Precious metal
2010-01-26,1097.9000244140625,1097.9000244140625,1097.9000244140625,1097.9000244140625,4,45.84799957275391,16183.55,16183.55,16183.55,16183.55,-0.0025387155664744476,0.0,Gold,GC=F,₹/10g,Precious metal
2010-01-27,1084.4000244140625,1084.4000244140625,1084.4000244140625,1084.4000244140625,206694,46.31800079345703,16148.42,16148.42,16148.42,16148.42,-0.0021707227400662443,0.0,Gold,GC=F,₹/10g,Precious metal
2010-01-28,1083.5999755859375,1095.699951171875,1073.199951171875,1087.800048828125,101168,46.34799957275391,16209.54,16327.26,15991.99,16146.96,-9.041132197462609e-05,335.27000000000044,Gold,GC=F,₹/10g,Precious metal
2010-01-29,1083.0,1090.800048828125,1074.5,1085.0,11456,46.09799957275391,16080.61,16166.57,15924.99,16050.97,-0.0059447722667300695,241.57999999999993,Gold,GC=F,₹/10g,Precious metal
2010-02-01,1104.300048828125,1107.300048828125,1076.800048828125,1081.0,2452,46.28799819946289,16087.36,16478.76,16024.86,16434.11,0.02387020846715182,453.8999999999978,Gold,GC=F,₹/10g,Precious metal
2010-02-02,1117.4000244140625,1118.5,1100.199951171875,1117.4000244140625,3326,46.09999847412109,16561.53,16577.83,16306.59,16561.53,0.007753386097573811,271.2400000000016,Gold,GC=F,₹/10g,Precious metal
2010-02-03,1111.4000244140625,1124.9000244140625,1108.5999755859375,1115.800048828125,853,45.900001525878906,16466.06,16600.35,16359.81,16401.13,-0.00968509551955632,240.53999999999905,Gold,GC=F,₹/10g,Precious metal
2010-02-04,1062.4000244140625,1110.699951171875,1059.0,1110.0,1426,46.209999084472656,16491.1,16501.5,15733.4,15783.92,-0.03763216314973428,768.1000000000004,Gold,GC=F,₹/10g,Precious metal
2010-02-05,1052.199951171875,1068.5,1045.199951171875,1052.199951171875,1956,46.619998931884766,15771.07,16015.39,15666.15,15771.07,-0.0008141196863643563,349.2399999999998,Gold,GC=F,₹/10g,Precious metal
2010-02-08,1065.699951171875,1073.4000244140625,1061.5999755859375,1065.699951171875,549,46.709999084472656,16004.26,16119.89,15942.69,16004.26,0.014785933991796396,177.1999999999989,Gold,GC=F,₹/10g,Precious metal
2010-02-09,1076.699951171875,1082.0,1063.0999755859375,1076.699951171875,387,46.38999938964844,16058.68,16137.73,15855.84,16058.68,0.0034003446582346886,281.8899999999994,Gold,GC=F,₹/10g,Precious metal
2010-02-10,1075.800048828125,1081.0999755859375,1063.300048828125,1075.800048828125,640,46.37799835205078,16041.11,16120.13,15854.72,16041.11,-0.0010941123429820676,265.40999999999985,Gold,GC=F,₹/10g,Precious metal
2010-02-11,1094.199951171875,1097.0999755859375,1075.5999755859375,1076.800048828125,1491,46.400001525878906,16063.63,16366.47,16045.73,16323.2,0.017585441406486213,320.7399999999998,Gold,GC=F,₹/10g,Precious metal
2010-02-12,1089.5,1092.0,1079.800048828125,1089.5,197,46.400001525878906,16253.09,16290.39,16108.39,16253.09,-0.004295113703195463,182.0,Gold,GC=F,₹/10g,Precious metal
2010-02-16,1119.300048828125,1120.4000244140625,1092.4000244140625,1119.300048828125,928,45.97999954223633,16546.5,16562.76,16148.84,16546.5,0.018052567234907224,413.91999999999825,Gold,GC=F,₹/10g,Precious metal
2010-02-17,1119.5,1127.0,1108.5,1119.5,1083,46.007999420166016,16559.54,16670.48,16396.83,16559.54,0.000788082071737195,273.6499999999978,Gold,GC=F,₹/10g,Precious metal
2010-02-18,1118.0,1123.699951171875,1100.800048828125,1118.0,989,46.13999938964844,16584.8,16669.35,16329.65,16584.8,0.0015254046911929997,339.6999999999989,Gold,GC=F,₹/10g,Precious metal
2010-02-19,1121.300048828125,1126.199951171875,1099.699951171875,1121.300048828125,137,46.18000030517578,16648.17,16720.92,16327.47,16648.17,0.0038209685977521612,393.4499999999989,Gold,GC=F,₹/10g,Precious metal
2010-02-22,1112.5999755859375,1127.4000244140625,1110.0,1112.5999755859375,124,46.09999847412109,16490.38,16709.74,16451.85,16490.38,-0.009477918594055557,257.89000000000306,Gold,GC=F,₹/10g,Precious metal
2010-02-23,1102.699951171875,1118.300048828125,1102.5999755859375,1116.4000244140625,152,46.26800155639648,16607.01,16635.27,16401.72,16403.21,-0.005286112266667087,233.54999999999927,Gold,GC=F,₹/10g,Precious metal
2010-02-24,1096.5,1096.5,1096.5,1096.5,751,46.28799819946289,16318.03,16318.03,16318.03,16318.03,-0.005192886026576415,0.0,Gold,GC=F,₹/10g,Precious metal
2010-02-25,1107.800048828125,1108.199951171875,1088.699951171875,1107.800048828125,386,46.29999923706055,16490.47,16496.43,16206.15,16490.47,0.010567452076016615,290.28000000000065,Gold,GC=F,₹/10g,Precious metal
2010-02-26,1118.300048828125,1118.300048828125,1106.800048828125,1106.800048828125,382,45.900001525878906,16333.25,16502.96,16333.25,16502.96,0.0007574071569820262,169.70999999999913,Gold,GC=F,₹/10g,Precious metal
2010-03-01,1117.800048828125,1121.9000244140625,1113.5999755859375,1119.300048828125,184,46.0,16553.7,16592.15,16469.4,16531.52,0.0017305986320030886,122.75,Gold,GC=F,₹/10g,Precious metal
2010-03-02,1136.9000244140625,1137.4000244140625,1115.699951171875,1136.9000244140625,155,46.02799987792969,16824.23,16831.63,16510.5,16824.23,0.017706175838640315,321.130000000001,Gold,GC=F,₹/10g,Precious metal
2010-03-03,1142.699951171875,1145.0,1133.699951171875,1142.699951171875,170,45.54999923706055,16734.45,16768.13,16602.64,16734.45,-0.005336351202997025,165.4900000000016,Gold,GC=F,₹/10g,Precious metal
2010-03-04,1132.5999755859375,1139.0,1128.5999755859375,1132.5999755859375,118,45.66999816894531,16630.23,16724.2,16571.5,16630.23,-0.006227871247635908,152.70000000000073,Gold,GC=F,₹/10g,Precious metal
2010-03-05,1134.800048828125,1134.800048828125,1134.800048828125,1134.800048828125,129,45.45000076293945,16582.27,16582.27,16582.27,16582.27,-0.0028839047926576544,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-08,1123.5999755859375,1123.5999755859375,1123.5999755859375,1123.5999755859375,17,45.400001525878906,16400.55,16400.55,16400.55,16400.55,-0.010958692627728306,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-09,1122.0,1124.0,1113.0999755859375,1122.0,27,45.54999923706055,16431.3,16460.59,16300.96,16431.3,0.0018749371210111665,159.63000000000102,Gold,GC=F,₹/10g,Precious metal
2010-03-10,1107.800048828125,1127.0999755859375,1106.9000244140625,1107.800048828125,21,45.310001373291016,16137.87,16419.02,16124.76,16137.87,-0.017857990542440305,294.2600000000002,Gold,GC=F,₹/10g,Precious metal
2010-03-11,1108.0,1108.0,1108.0,1108.0,46,45.45000076293945,16190.65,16190.65,16190.65,16190.65,0.0032705679250111253,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-12,1101.5,1117.4000244140625,1099.9000244140625,1101.5,135,45.49800109863281,16112.67,16345.26,16089.27,16112.67,-0.0048163600596640155,255.98999999999978,Gold,GC=F,₹/10g,Precious metal
2010-03-15,1105.0999755859375,1107.0999755859375,1101.4000244140625,1105.0999755859375,21,45.55799865722656,16186.65,16215.94,16132.45,16186.65,0.0045914178097112845,83.48999999999978,Gold,GC=F,₹/10g,Precious metal
2010-03-16,1122.199951171875,1127.0,1114.5,1122.199951171875,66,45.38999938964844,16376.5,16446.55,16264.14,16376.5,0.01172880120346087,182.40999999999985,Gold,GC=F,₹/10g,Precious metal
2010-03-17,1124.0,1131.4000244140625,1118.0,1124.0,29,45.27999877929688,16363.02,16470.75,16275.67,16363.02,-0.0008231307055841519,195.07999999999993,Gold,GC=F,₹/10g,Precious metal
2010-03-18,1127.4000244140625,1127.800048828125,1121.0999755859375,1127.4000244140625,86,45.38999938964844,16452.39,16458.23,16360.45,16452.39,0.0054617057242489775,97.77999999999884,Gold,GC=F,₹/10g,Precious metal
2010-03-19,1107.4000244140625,1107.4000244140625,1107.4000244140625,1107.4000244140625,54,45.25,16110.68,16110.68,16110.68,16110.68,-0.020769626783707307,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-22,1099.300048828125,1099.300048828125,1099.300048828125,1099.300048828125,71,45.470001220703125,16070.59,16070.59,16070.59,16070.59,-0.0024884114140433233,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-23,1103.5,1103.5,1103.5,1103.5,16,45.400001525878906,16107.16,16107.16,16107.16,16107.16,0.002275585401656066,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-24,1088.5999755859375,1092.4000244140625,1085.5,1088.5999755859375,9,45.400001525878906,15889.67,15945.14,15844.42,15889.67,-0.01350269072884358,100.71999999999935,Gold,GC=F,₹/10g,Precious metal
2010-03-25,1092.699951171875,1092.699951171875,1086.699951171875,1092.699951171875,8,45.48799896240234,15980.43,15980.43,15892.68,15980.43,0.005711887031008223,87.75,Gold,GC=F,₹/10g,Precious metal
2010-03-26,1104.199951171875,1104.199951171875,1104.199951171875,1104.199951171875,5,45.11000061035156,16014.42,16014.42,16014.42,16014.42,0.00212697655820282,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-29,1110.300048828125,1110.300048828125,1110.300048828125,1110.300048828125,158733,44.79999923706055,15992.23,15992.23,15992.23,15992.23,-0.0013856262043833167,0.0,Gold,GC=F,₹/10g,Precious metal
2010-03-30,1104.5,1112.9000244140625,1101.0999755859375,1109.699951171875,56533,44.93999862670898,16033.54,16079.77,15909.28,15958.41,-0.0021147769885750956,170.48999999999978,Gold,GC=F,₹/10g,Precious metal
2010-03-31,1113.300048828125,1118.699951171875,1102.0,1103.0999755859375,5950,44.79999923706055,15888.53,16113.22,15872.68,16035.44,0.0048269219803227514,240.53999999999905,Gold,GC=F,₹/10g,Precious metal
2010-04-01,1125.0999755859375,1127.699951171875,1111.300048828125,1125.0999755859375,2696,44.59999847412109,16133.06,16170.34,15935.18,16133.06,0.00608776559919777,235.15999999999985,Gold,GC=F,₹/10g,Precious metal
2010-04-05,1132.9000244140625,1133.300048828125,1119.9000244140625,1122.300048828125,567,44.36000061035156,16006.31,16163.19,15972.08,16157.49,0.0015142818535356373,191.11000000000058,Gold,GC=F,₹/10g,Precious metal
2010-04-06,1135.0999755859375,1138.5,1122.699951171875,1130.800048828125,2490,44.34000015258789,16120.27,16230.04,16004.8,16181.57,0.001490330490688807,225.2400000000016,Gold,GC=F,₹/10g,Precious metal
2010-04-07,1152.300048828125,1153.0,1132.5999755859375,1152.300048828125,1342,44.400001525878906,16448.99,16458.98,16167.78,16448.99,0.0165262085199398,291.1999999999989,Gold,GC=F,₹/10g,Precious metal
2010-04-08,1152.199951171875,1152.300048828125,1144.0,1152.199951171875,254,44.34000015258789,16425.34,16426.76,16308.44,16425.34,-0.0014377782465672118,118.31999999999789,Gold,GC=F,₹/10g,Precious metal
2010-04-09,1161.0999755859375,1164.800048828125,1150.5,1161.0999755859375,505,44.119998931884766,16470.09,16522.57,16319.73,16470.09,0.002724448930737422,202.84000000000015,Gold,GC=F,₹/10g,Precious metal
2010-04-12,1161.5999755859375,1169.0,1154.5999755859375,1161.5999755859375,483,44.34000015258789,16559.34,16664.83,16459.55,16559.34,0.005418913922146107,205.28000000000247,Gold,GC=F,₹/10g,Precious metal
2010-04-13,1152.800048828125,1157.0,1145.0,1152.800048828125,278,44.57799911499024,16522.1,16582.3,16410.31,16522.1,-0.0022488818998825932,171.98999999999796,Gold,GC=F,₹/10g,Precious metal
2010-04-14,1159.0,1160.5999755859375,1151.199951171875,1159.0,162,44.209999084472656,16473.83,16496.58,16362.97,16473.83,-0.002921541450541798,133.6100000000024,Gold,GC=F,₹/10g,Precious metal
2010-04-15,1159.699951171875,1159.800048828125,1151.0,1157.5,179,44.290000915527344,16482.29,16515.04,16389.73,16513.61,0.0024147390133320012,125.31000000000131,Gold,GC=F,₹/10g,Precious metal
