number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.28995518794335745,2026-07-17 10:52:50.626049,2026-07-17 10:52:55.725030,0 days 00:00:05.098981,0.9509192340701469,0.02523359656442213,4,50,1287,83,1.3936128644645718,0.026408277450233615,0.9835313827153158,COMPLETE
1,0.29635925326618695,2026-07-17 10:52:55.725030,2026-07-17 10:53:00.840788,0 days 00:00:05.115758,0.7688299928710062,0.012732189759227429,5,39,828,34,2.661149939137593,0.0010957207838026134,0.6636641077504848,COMPLETE
2,0.28762306718224356,2026-07-17 10:53:00.840788,2026-07-17 10:53:02.851714,0 days 00:00:02.010926,0.6095159698031899,0.03627594848782051,9,81,730,83,2.8644310261187207,1.9873951273318936e-07,0.9745128366092729,COMPLETE
3,0.2845419072503877,2026-07-17 10:53:02.851714,2026-07-17 10:53:36.760885,0 days 00:00:33.909171,0.9424862253817522,0.05656369684524513,10,37,1493,114,9.231462958180727e-07,0.12380770700278425,0.8679255729850166,COMPLETE
4,0.3348295346369569,2026-07-17 10:53:36.760885,2026-07-17 10:53:46.075472,0 days 00:00:09.314587,0.9319056680276336,0.006295268825991843,6,22,277,59,1.8376533303851077e-06,1.6189930433476078e-08,0.6026268797159816,COMPLETE
5,0.2779342943436352,2026-07-17 10:53:46.075472,2026-07-17 10:53:52.598360,0 days 00:00:06.522888,0.8735354758269274,0.006942384536053883,4,95,710,84,2.2478246207961765e-06,7.782562119388184e-08,0.9590270903455981,COMPLETE
6,0.2731744267806965,2026-07-17 10:53:52.598360,2026-07-17 10:54:06.441954,0 days 00:00:13.843594,0.9438906735003234,0.053134485690859996,6,65,1094,21,0.006138589247735518,0.030341530515385143,0.9140100668805866,COMPLETE
7,0.2851015743704017,2026-07-17 10:54:06.441954,2026-07-17 10:54:10.186727,0 days 00:00:03.744773,0.9153986327566949,0.013206060978904352,8,64,215,50,0.0002454975646042059,0.28957275681749056,0.6616955046607192,COMPLETE
8,0.2825491883108681,2026-07-17 10:54:10.186727,2026-07-17 10:54:41.703588,0 days 00:00:31.516861,0.8516832834206649,0.03796159581671928,7,11,1194,93,0.00016009388388963633,1.063146415984002e-06,0.8922330618469145,COMPLETE
9,0.2707737544104976,2026-07-17 10:54:41.703588,2026-07-17 10:54:51.942299,0 days 00:00:10.238711,0.9651046516362239,0.018657761654906728,7,78,796,122,8.737663739288423e-06,4.015799085940195e-05,0.6997908159808535,COMPLETE
