number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_da,user_attrs_rmse,state
0,-46.506599544138886,2026-08-17 18:36:24.056710,2026-08-17 18:36:26.018259,0 days 00:00:01.961549,0.5982632326911852,0.011762070892583609,12,30,1176,97,5.64401959712706,3.853908346758275e-08,0.7884537034173222,47.02189649637335,0.37450967304082017,COMPLETE
1,-47.62806301584467,2026-08-17 18:36:26.018259,2026-08-17 18:36:36.037923,0 days 00:00:10.019664,0.689339327682084,0.058430878574974525,6,77,1398,104,0.10302996005842707,6.331092258883316e-07,0.9648605392497536,48.19136941759009,0.40940218145030044,COMPLETE
2,-47.23703960918209,2026-08-17 18:36:36.037923,2026-08-17 18:36:38.159493,0 days 00:00:02.121570,0.646673829600716,0.037098447175236415,3,84,1177,42,0.6824907552654701,1.1359300541461108,0.8337757627636297,47.75305209832794,0.3750297139484384,COMPLETE
3,-46.61628657742397,2026-08-17 18:36:38.159493,2026-08-17 18:36:40.638126,0 days 00:00:02.478633,0.9583132641112666,0.0072047285279665104,9,80,987,106,1.0251643835822062,0.004049676335365353,0.6995625911577874,47.13134492858652,0.3743362615563555,COMPLETE
4,-47.078785380441786,2026-08-17 18:36:40.638126,2026-08-17 18:36:47.270248,0 days 00:00:06.632122,0.6495628062419387,0.005105727923959122,5,35,727,73,4.9920957428116855e-06,3.954479172438835e-06,0.9289537887361379,47.60769579888159,0.3844037249179149,COMPLETE
5,-46.99658086636541,2026-08-17 18:36:47.270248,2026-08-17 18:37:02.139896,0 days 00:00:14.869648,0.7646244347764355,0.005695497190129776,9,37,764,102,6.639154074651315e-08,4.333648393487608,0.8833177643358201,47.533873950329244,0.390496113609521,COMPLETE
6,-47.17799822173905,2026-08-17 18:37:02.139896,2026-08-17 18:37:36.844110,0 days 00:00:34.704214,0.9112994483246271,0.0132740413122147,10,57,1457,33,0.004736177900703171,1.481968390201309e-07,0.7306261827609046,47.75237075332192,0.4174448695533022,COMPLETE
7,-47.88402337209094,2026-08-17 18:37:36.844110,2026-08-17 18:37:41.641702,0 days 00:00:04.797592,0.6675408597474912,0.046408731291456735,5,67,506,90,0.00030110193247261737,0.036432733916003615,0.7364230221892376,48.44761901594495,0.40961239803909955,COMPLETE
8,-46.88031715750626,2026-08-17 18:37:41.641702,2026-08-17 18:38:10.826029,0 days 00:00:29.184327,0.9310196172320385,0.005453417423694262,10,72,1489,104,0.00045938863764246777,3.9756869624441276e-08,0.8729445662441875,47.42362354759311,0.39486648937103314,COMPLETE
9,-46.698853538643355,2026-08-17 18:38:10.826029,2026-08-17 18:38:23.665314,0 days 00:00:12.839285,0.7039382722811822,0.011982677889133864,7,29,767,68,0.05963463623810173,7.256744591256214e-05,0.8819532049438423,47.24151605809818,0.39439853438151634,COMPLETE
